cost,emission,discomfort,dummy,elec import elecGrid,rooftop pv elecGrid,elec import fuelGrid,heatpump heatGrid,heatpump_ac heatGrid,electrolyzer storageGrid,fuel cell storageGrid,battery storage invest[MW(h)],buffer tank invest[MW(h)],electrolyzer invest[MW(h)],fuel cell invest[MW(h)],h2 storage invest[MW(h)],heatpump invest[MW(h)],heatpump_ac invest[MW(h)],rooftop pv invest[MW(h)],gas boiler fuelGrid,gas boiler heatGrid,gas boiler invest[MW(h)],clo_lvl
0.004525,4.782502665,10.32,0.0,2.90633091395753,10.3074449239116,-2.90633091395753,-25.766489127962203,-0.564233193544399,,,0.0090437485007372,0.0749004681111947,,,,0.005945336171982,0.0030246219831604,0.0124606590053354,-19.7839364783097,-17.805542830492833,0.0096444817332236,light_clothing
0.005663,3.398509974,7.52,0.0,7.57366361408533,12.5330396996083,-7.5736636140853,-44.7981052601625,-1.00032226889205,,,0.0095233269533569,0.086371632539253,,,,0.0109652013614677,0.0045700817725934,0.0176736,-1.69667337407547,-1.527006036667706,0.0017256990091027,light_clothing
0.005039,3.903938306,9.48,0.0,5.04827129138036,11.756810595103,-5.04827129138036,-35.2824910552136,-0.864444847434522,,,0.0095884393755611,0.054729765962495,,,,0.0077050136453226,0.0043847984262127,0.0157542212963012,-10.1443543400738,-9.129918906066488,0.0062316013602651,light_clothing
0.006247,2.71971553,11.44,0.0,6.66596943531361,14.1751034365777,-6.66596943536022,-44.8436068511244,-1.82738853318648,0.265845575024457,-0.23673728032472,0.0135285942837954,0.172947180529946,9.0115616692753e-05,0.0001104883138135,0.259179145130314,0.0184795662262891,0.0063696561719487,0.0176736,,,,light_clothing
0.005838,3.229602832,7.52,0.0,7.91569321457568,12.8699977849605,-7.91569321457569,-46.7355310168917,-1.32114090876722,,,0.0098220929941866,0.108796742743941,,,,0.0138017172922581,0.0057686121688022,0.0176736,,,,light_clothing
0.005946,2.549706634,17.0,0.0,6.24928096560656,12.7105454297203,-6.24928096565298,-40.11489585833751,,0.236063670156678,-0.209494579624521,0.0142064947481543,0.147064395195571,7.971326839467641e-05,0.0001017670975821,0.229257193374111,0.0165913806989864,,0.0176736,,,,light_clothing
0.005433,3.227319788,10.04,0.0,6.70377344888387,12.4591193803063,-6.7037734488839,-41.9517058996716,-0.927771890814193,,,0.0095233269533569,0.0755411454717875,,,,0.0104662670240979,0.0043845207376032,0.0176736,-2.70726194217429,-2.436535747956892,0.0025115988063467,light_clothing
0.004043,6.141934165,16.17,0.0,1.33688613480598,7.49745038504864,-1.33688613480598,-11.56767375567904,-0.0282411196536992,,,0.0092068481690986,0.0383731527481664,,,,0.0039942915190651,0.0002201221278284,0.0080361912228547,-30.7837437976422,-27.70536941787779,0.0095956894151111,light_clothing
0.005946,2.549706452,19.5,0.0,6.24928052018192,12.2362269008208,-6.24928052022835,-38.3365692817494,,0.235650379118801,-0.209127804710849,0.0142070512734772,0.147065337811556,7.95737095230992e-05,0.0001015889277292,0.228855818849485,0.016591551936209,,0.0176736,,,,light_clothing
0.005533,3.566465673,7.52,0.0,6.53163372960447,12.4327327855862,-6.53163372960447,-41.73278356322661,-0.993419109810293,,,0.0095262620179014,0.0789354562430266,,,,0.0105651821582123,0.0045701038153604,0.0175870804052766,-4.95907101859042,-4.463163916731375,0.003451219679356,light_clothing
0.0051,3.056332256,14.5,0.0,5.52078890427342,12.0085739983309,-5.52078890427342,-37.9674455977757,-0.510837170898306,,,0.0095350038959011,0.0739232360263469,,,,0.0098052005759364,0.0018039439507702,0.0173293880342217,-4.42161926683315,-3.979457340151793,0.0035979932608623,light_clothing
0.004805,4.073184585,10.6,0.0,4.37063669515084,10.889551663638,-4.37063669515084,-32.1458719568101,-0.676384655102058,,,0.0093863911186944,0.0520039651948722,,,,0.0067452690575915,0.0039250942188362,0.0147242625805513,-12.5960660798561,-11.336459471872208,0.0070607773460146,light_clothing
0.0044,5.594603032,9.76,0.0,1.18791684860518,9.85774882630388,-1.18791684859807,-18.38423759396485,-0.199369630785098,,,0.0091224101996718,0.0704520405333892,,,,0.005537633188693,0.0011646522580801,0.0117371337959225,-28.1074420097818,-25.29669780881654,0.0100841220468111,light_clothing
0.004847,3.394845954,19.5,0.0,4.89671616499936,10.3982428956371,-4.89671616499936,-31.1507470730726,,,,0.0095894143418924,0.0632744431605009,,,,0.0084106529214437,,0.0157254813178191,-7.68419009004719,-6.915771080990166,0.0052330889511198,light_clothing
