# Renewables.ninja Solar PV (Point API) - 51.430, 7.146 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC, missing in binary flag
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC", "missing": "binary flag"}, "params": {"local_time": true, "header": true, "lat": "51.43043466099449", "lon": "7.145828295658516", "date_from": "2015-01-01", "date_to": "2015-12-31", "dataset": "sarah", "capacity": "10", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,missing
2015-01-01 00:00,2015-01-01 01:00,0,0,0,-0.320,0
2015-01-01 01:00,2015-01-01 02:00,0,0,0,-0.325,0
2015-01-01 02:00,2015-01-01 03:00,0,0,0,-0.426,0
2015-01-01 03:00,2015-01-01 04:00,0,0,0,-0.588,0
2015-01-01 04:00,2015-01-01 05:00,0,0,0,-0.732,0
2015-01-01 05:00,2015-01-01 06:00,0,0,0,-0.843,0
2015-01-01 06:00,2015-01-01 07:00,0,0,0,-1.077,0
2015-01-01 07:00,2015-01-01 08:00,0,0,0,-1.539,0
2015-01-01 08:00,2015-01-01 09:00,0.732,0.073,0.018,-1.200,0
2015-01-01 09:00,2015-01-01 10:00,2.882,0.266,0.046,0.132,0
2015-01-01 10:00,2015-01-01 11:00,4.477,0.414,0.070,1.064,0
2015-01-01 11:00,2015-01-01 12:00,4.978,0.455,0.088,1.972,0
2015-01-01 12:00,2015-01-01 13:00,4.041,0.339,0.100,2.524,0
2015-01-01 13:00,2015-01-01 14:00,4.207,0.374,0.084,2.560,0
2015-01-01 14:00,2015-01-01 15:00,2.170,0.176,0.064,2.040,0
2015-01-01 15:00,2015-01-01 16:00,0.166,0.020,0.010,1.194,0
2015-01-01 16:00,2015-01-01 17:00,0,0,0,0.826,0
2015-01-01 17:00,2015-01-01 18:00,0,0,0,0.466,0
2015-01-01 18:00,2015-01-01 19:00,0,0,0,0.421,0
2015-01-01 19:00,2015-01-01 20:00,0,0,0,0.428,0
2015-01-01 20:00,2015-01-01 21:00,0,0,0,0.487,0
2015-01-01 21:00,2015-01-01 22:00,0,0,0,0.507,0
2015-01-01 22:00,2015-01-01 23:00,0,0,0,0.316,0
2015-01-01 23:00,2015-01-02 00:00,0,0,0,0.124,0
2015-01-02 00:00,2015-01-02 01:00,0,0,0,0.138,0
2015-01-02 01:00,2015-01-02 02:00,0,0,0,0.391,0
2015-01-02 02:00,2015-01-02 03:00,0,0,0,0.732,0
2015-01-02 03:00,2015-01-02 04:00,0,0,0,1.264,0
2015-01-02 04:00,2015-01-02 05:00,0,0,0,1.881,0
2015-01-02 05:00,2015-01-02 06:00,0,0,0,2.524,0
2015-01-02 06:00,2015-01-02 07:00,0,0,0,3.024,0
2015-01-02 07:00,2015-01-02 08:00,0,0,0,3.344,0
